block_number,old_block_id,new_block_id,old_block_hash,new_block_hash,body_identical,hash_match
39,seal-C-339-039,seal-C-339-039,sha256:ba1cf8bc761972d69f31d0c15172b0cd38a21ca30369eecf3d548d3b2ef27bf2,sha256:e9b2043c4516b679245341f155970a5ce9238f197cc8f5988d486ee738e6ab88,True,False
40,seal-C-339-040,seal-C-339-040,sha256:2d624fb0816bc38fb827ec27cb34e1909dc7fba803bb4f407022950a6fedd6f9,sha256:5892e0deca40a8194fbbe3cf4661b92c3ccf54c91cf1420cd1b586d24906ca24,True,False
41,seal-C-339-041,seal-C-339-041,sha256:400c2786e25e3ed9085c45d249dbf62f2f5a8b57af734ada45e27b1fc1f342c8,sha256:f38b11be6dd42c586db44a168e12536a3c9a0d5aeb953baa62821331c809cd01,True,False
42,seal-C-339-042,seal-C-339-042,sha256:a01dc0d21e260f100ac984e93c16835934e712b37ecb7a2c0581c2e3df2bbc98,sha256:a249092be7622787e2887e10645e9e61f23e083f9d65a822cd0332c09bc1305f,True,False
43,seal-C-340-043,seal-C-340-043,sha256:56385aa8804e341341393d9c3da17258080c4c7c3eb161f483ca561a3a297c83,sha256:efcc5b117f7daacd6f4673cf4306439decd35cb968750026e5217d7f408d8330,True,False
44,seal-C-340-044,seal-C-340-044,sha256:0c58bd13d94b7b4546dbee9dfc1444d259ac55f98e1b8f7e761ca136d6a621cc,sha256:bc4da8ee0dde77629c47d5764f63356c8b0e7a6786c8c27e3f2729ad13bf4c3b,True,False
45,seal-C-340-045,seal-C-340-045,sha256:f0ca825e9f0cab1f26cd91fa463f67a54b8f8328ea6246d67cd4f1c7aa53b001,sha256:5aa23d353ad7605f6808a567c440542dc17d4e7a38f6c9c989d68b7e3c9fff9d,True,False
46,seal-C-340-046,seal-C-340-046,sha256:5e00e8ce400f3c41bce06f4db4d36339e845c7a4caa1ecd2fecf55dba1bf681c,sha256:53040bbe68e841c213a939a36d82d20ebf2c5829459a3cce7f060d4fabc32c21,True,False
47,seal-C-340-047,seal-C-340-047,sha256:050a19503d4057919e06e0081030499e40f7fba2ad2817a667d6a57991d8684c,sha256:ca6fca96a025b369bfd2bcaeb773828d1291de95d50ac4ac7c9ed1a2bc9492f4,True,False
48,seal-C-340-048,seal-C-340-048,sha256:fa228e39eb691bfebe8e050d2edaccbb98cd370cda8d0e9d53f4a6ede74c8064,sha256:2a97df3191ff9d68d170515ae31bba0ba45eeaa281d531d1b1733e04364b9ced,True,False
49,seal-C-341-049,seal-C-341-049,sha256:b8ddfbd7345938ddc126071141bf712c5da0d451eb49f6a74ceb5c7a9ab2963c,sha256:96685f7ce3a69cc17b3cd66f30b2433d7a505c3337e557a4e7737a1e62d14477,True,False
50,seal-C-341-050,seal-C-341-050,sha256:06760f8b73647f12a5cd3edc27130422aea94191eedba062f3cbce1b72c12d59,sha256:ddd9b90a52ce32edd770318498abf03350e5a3a9541c45359205be8985abcc34,True,False
51,seal-C-341-051,seal-C-341-051,sha256:8ea2e66e86732da428a76eebbc5efdad8a200cbd190dbb9d672b72e277e54c90,sha256:9d600470cf0e99bfc7c803b3d913c0c7127ad8f8e8a430935ccf144a0f6bfc93,True,False
52,seal-C-341-052,seal-C-341-052,sha256:dabb7a19fd8d98952586912bec4161c6685b74391c02be729a127b7cbebccb53,sha256:39d21122007477783ec860a4cfbe6bc2daa76ae5762d182be229d660e5f685dc,True,False
53,seal-C-341-053,seal-C-341-053,sha256:8813880d8f27299bee2b0ec743739c2dad1552c7c03088931bfa3db1b4f76c64,sha256:f0791027658279cd5eaf7de3d165bfc11e6740551c4b530eb1b484c19a9fb97f,True,False
54,seal-C-342-054,seal-C-342-054,sha256:48f971134c4b48af8a0435d8dfde45e60c5b64e66d60a0e951d55b8cceb1f3d4,sha256:f9880bf5f1e0e46acd71adcba552017da01c87931419fe2aaa1b2ed47e849be8,True,False
55,seal-C-342-055,seal-C-342-055,sha256:034d80664193494d2d69d6bdc81dadc1f257e35a51a353621fae073af6122f84,sha256:fb48ce23c62164489b713e1d0c9a1a36827b39b48ad67609a98f27c4d349bed1,True,False
56,seal-C-342-056,seal-C-342-056,sha256:464958a568c5031277578e4d8a88dec650d99ed94be0fea97f306aac06f6bbad,sha256:8aee3b7e7390268e14566a8f282f4bb0d5f8a7d5e6b46a765b2a35f6c985c8fe,True,False
57,seal-C-342-057,seal-C-342-057,sha256:dc59b32c8d2cb325e2b6e93119694743b0ae9d11a89a8e542d6d47bb84fda782,sha256:4f97fd18a116c9f7b582904b7aa4f273148e0d093a46e4b3717d7ff4f1b4e982,True,False
58,seal-C-342-058,seal-C-342-058,sha256:86947fc2abf3a3b424d7dae099b737fca81f62da29e8519f3d357841b880345e,sha256:016dd352d94bf439d85a52c33a23333f8a3e7d51e7cdf2fe76707a8cdcb849d1,True,False
59,seal-C-343-059,seal-C-343-059,sha256:11264e0e082fce326a0deccbbfbee2f6fd43e27e8d2958e5e9b7ba751abb9183,sha256:575dcf9587764274ef680618dbed7a6d2a632c2d309dfade45f29690e96b18dc,True,False
